strike,bid,ask,impliedVolatility,openInterest,volume,option_type,expiry,maturity,spot,mid,relative_spread,our_iv,log_moneyness
500.0,263.64,265.16,1.8281258593749998,378,501.0,call,2026-08-28,0.005479452054794521,764.260009765625,264.4,0.005748865355522083,2.0589085735114594,-0.42429995976461615
515.0,248.5,251.75,2.124516407470703,12,,call,2026-08-28,0.005479452054794521,764.260009765625,250.125,0.012993503248375811,2.5580584300765166,-0.39474115752307176
535.0,228.6,231.75,1.9599611376953123,15,2.0,call,2026-08-28,0.005479452054794521,764.260009765625,230.175,0.013685239491691129,2.359543224953474,-0.3566413112908014
540.0,223.66,226.76,1.9267581787109376,49,49.0,call,2026-08-28,0.005479452054794521,764.260009765625,225.20999999999998,0.013764930509302406,2.319705702966673,-0.3473389186284879
550.0,213.59,216.76,1.8271493017578124,19,5.0,call,2026-08-28,0.005479452054794521,764.260009765625,215.175,0.014732194725223597,2.1976473698161176,-0.3289897799602914
555.0,208.57,211.76,1.7802745361328123,26,26.0,call,2026-08-28,0.005479452054794521,764.260009765625,210.165,0.015178550186758013,2.1404842843045095,-0.3199399444403735
560.0,203.81,206.89,1.7890635546875,12,8.0,call,2026-08-28,0.005479452054794521,764.260009765625,205.35,0.014998782566350058,2.1560961031598302,-0.3109712744576131
600.0,163.68,166.93,1.4340848608398438,26,3.0,call,2026-08-28,0.005479452054794521,764.260009765625,165.305,0.01966062732524727,1.7231337574643861,-0.24197840297066156
615.0,148.8,151.79,1.3071323706054683,52,2.0,call,2026-08-28,0.005479452054794521,764.260009765625,150.29500000000002,0.01989420805748681,1.5688392696570554,-0.21728579038029008
620.0,143.78,146.93,1.2783239208984374,18,20.0,call,2026-08-28,0.005479452054794521,764.260009765625,145.35500000000002,0.02167108114615944,1.5353588326416392,-0.20918858014767075
650.0,113.56,116.81,1.001958115234375,26,1.0,call,2026-08-28,0.005479452054794521,764.260009765625,115.185,0.028215479446108433,1.1967102407287342,-0.1619356952971251
675.0,88.64,91.82,0.8120135986328124,11,3.0,call,2026-08-28,0.005479452054794521,764.260009765625,90.22999999999999,0.03524326720602896,0.9685953172369376,-0.12419536731427812
685.0,78.68,81.83,0.7368190380859375,50,9.0,call,2026-08-28,0.005479452054794521,764.260009765625,80.255,0.03924989097252497,0.8781686692078337,-0.10948921992458267
690.0,73.65,76.63,0.6804231176757813,38,8.0,call,2026-08-28,0.005479452054794521,764.260009765625,75.14,0.039659302635081044,0.8079975182426348,-0.10221646059550289
694.0,69.71,72.84,0.6679720703125002,15,10.0,call,2026-08-28,0.005479452054794521,764.260009765625,71.275,0.04391441599438806,0.7955971984511554,-0.0964360976800034
695.0,68.7,71.84,0.659183095703125,14,11.0,call,2026-08-28,0.005479452054794521,764.260009765625,70.27000000000001,0.04468478724918173,0.7850946319528874,-0.09499621262201584
696.0,67.66,70.81,0.64648791015625,55,3.0,call,2026-08-28,0.005479452054794521,764.260009765625,69.235,0.04549721961435698,0.7692508673215146,-0.09355839785238827
697.0,66.77,69.84,0.6479527392578125,81,2.0,call,2026-08-28,0.005479452054794521,764.260009765625,68.305,0.044945465192884955,0.7719166661915481,-0.09212264742628412
698.0,65.7,68.93,0.6411168701171875,16,7.0,call,2026-08-28,0.005479452054794521,764.260009765625,67.315,0.047983361806432506,0.763935710042753,-0.09068895542443547
699.0,64.75,67.84,0.6306189282226562,126,4.0,call,2026-08-28,0.005479452054794521,764.260009765625,66.295,0.04660984991326651,0.7508817895056682,-0.08925731595299764
700.0,63.67,66.85,0.6181678808593751,258,4.0,call,2026-08-28,0.005479452054794521,764.260009765625,65.25999999999999,0.048728164266012765,0.735287779550717,-0.08782772314340331
701.0,62.89,65.85,0.6237830590820312,53,26.0,call,2026-08-28,0.005479452054794521,764.260009765625,64.37,0.045984154109056916,0.7437405625528609,-0.08640017115221785
703.0,61.87,63.85,0.6606479248046876,48,28.0,call,2026-08-28,0.005479452054794521,764.260009765625,62.86,0.03149856824689793,0.7930144125351257,-0.08355116637614306
705.0,60.03,61.83,0.6501499829101562,228,18.0,call,2026-08-28,0.005479452054794521,764.260009765625,60.93,0.029542097488921667,0.7808708584129577,-0.08071025537453934
708.0,55.73,58.85,0.5573774731445313,48,30.0,call,2026-08-28,0.005479452054794521,764.260009765625,57.29,0.05445976610228669,0.6628663741909404,-0.0764639644930882
709.0,55.87,57.85,0.6088906298828126,17,28.0,call,2026-08-28,0.005479452054794521,764.260009765625,56.86,0.03482237073513901,0.7303743284552053,-0.07505253165468043
710.0,54.87,56.86,0.6005899316406251,97,6.0,call,2026-08-28,0.005479452054794521,764.260009765625,55.864999999999995,0.03562158775619802,0.7204932988531882,-0.07364308815144689
711.0,52.67,55.84,0.5290574438476563,56,12.0,call,2026-08-28,0.005479452054794521,764.260009765625,54.255,0.05842779467330203,0.6283153331286429,-0.07223562838356708
